City Attorney,2012,2051592.69,737029.59,2788622.28
City Clerk,2012,427809.89,178551.89,606361.78
City Council,2012,480917.81,196264.30,677182.11
City Manager,2012,1908985.38,701852.53,2610837.91
Civil Service,2012,144095.35,52046.22,196141.57
Communications and Technology,2012,4713387.44,1693821.63,6407209.07
Community Development,2012,3356984.85,1383230.63,4740215.48
Finance,2012,935621.61,380992.72,1316614.33
Fire,2012,23762704.17,10198705.62,33961409.79
Human Resources,2012,492724.68,179917.77,672642.45
Municipal Court,2012,3042887.01,1398947.85,4441834.86
Parks and Recreation,2012,5735934.60,1486761.20,7222695.80
Police,2012,29539328.77,11261604.21,40800932.98
Public Works,2012,11165993.42,4519359.55,15685352.97
